plan_id,public_private_separation,service_area_ratio,bathroom_adjacency
6044,1.0,0.3,0.0
2564,1.0,0.0,0.0
6165,1.0,0.16666666666666666,0.0
1021,1.0,0.058823529411764705,1.0
5507,1.0,0.125,0.0
1269,1.0,0.1,0.0
5988,1.0,0.1,0.0
2123,1.0,0.1111111111111111,0.0
6293,1.0,0.11764705882352941,0.3333333333333333
925,1.0,0.2,0.0
1171,1.0,0.1111111111111111,0.25
9333,1.0,0.2857142857142857,0.0
8815,1.0,0.14285714285714285,0.0
1784,1.0,0.09090909090909091,0.0
6335,1.0,0.1,0.0
4947,1.0,0.05263157894736842,0.75
4501,1.0,0.0,0.0
3796,1.0,0.16666666666666666,0.5
4554,1.0,0.14285714285714285,0.0
4880,1.0,0.11538461538461539,1.3333333333333333
594,1.0,0.13636363636363635,0.25
9618,1.0,0.09090909090909091,0.3333333333333333
652,1.0,0.1,0.3333333333333333
8406,1.0,0.08333333333333333,0.3333333333333333
693,1.0,0.2857142857142857,1.0
449,1.0,0.23076923076923078,0.6666666666666666
8714,1.0,0.13333333333333333,0.5
5658,1.0,0.0,0.0
2015,1.0,0.2857142857142857,0.0
8650,1.0,0.125,0.75
1455,1.0,0.2222222222222222,0.0
5628,1.0,0.09090909090909091,0.0
7595,1.0,0.1111111111111111,0.0
816,1.0,0.2,0.0
7072,1.0,0.058823529411764705,0.0
8096,1.0,0.0,0.0
9946,1.0,0.10526315789473684,0.0
7885,1.0,0.11764705882352941,0.0
8121,1.0,0.0,0.0
8422,1.0,0.12,0.75
935,1.0,0.1,0.0
2108,1.0,0.13043478260869565,0.5
7748,1.0,0.2222222222222222,0.0
6100,1.0,0.11538461538461539,0.0
8685,1.0,0.058823529411764705,0.0
4808,1.0,0.17647058823529413,0.25
8184,1.0,0.3333333333333333,0.0
8368,1.0,0.16666666666666666,0.4
1834,1.0,0.2,0.0
6588,1.0,0.14285714285714285,0.3333333333333333
451,1.0,0.17647058823529413,1.0
2142,1.0,0.3333333333333333,1.0
4509,1.0,0.25,0.0
8212,1.0,0.16666666666666666,0.0
1199,1.0,0.1111111111111111,0.75
959,1.0,0.0,0.0
102,1.0,0.1111111111111111,1.3333333333333333
784,1.0,0.11764705882352941,1.0
763,1.0,0.13333333333333333,0.5
3937,1.0,0.14285714285714285,0.0
9229,1.0,0.13333333333333333,0.25
3941,1.0,0.0,0.0
898,1.0,0.10526315789473684,0.0
3718,1.0,0.16666666666666666,0.25
9705,1.0,0.14285714285714285,1.0
5785,1.0,0.1,1.0
1860,1.0,0.13636363636363635,1.0
6626,1.0,0.0,0.0
9285,1.0,0.08,0.5
8091,1.0,0.2,0.0
5083,1.0,0.125,0.6666666666666666
8246,1.0,0.0,0.0
6122,1.0,0.06060606060606061,0.3333333333333333
8155,1.0,0.14285714285714285,0.75
3202,1.0,0.10344827586206896,0.3333333333333333
8734,1.0,0.13333333333333333,0.5
6445,1.0,0.18181818181818182,0.0
9722,1.0,0.09375,0.25
9275,1.0,0.13333333333333333,1.0
1160,1.0,0.125,0.75
9678,1.0,0.0,0.0
336,1.0,0.15384615384615385,0.3333333333333333
8577,1.0,0.125,0.6
559,1.0,0.08695652173913043,0.0
3778,1.0,0.16666666666666666,1.0
5788,1.0,0.18181818181818182,0.0
3971,1.0,0.08,0.3333333333333333
9327,1.0,0.13333333333333333,0.6666666666666666
5677,1.0,0.14285714285714285,0.0
9099,1.0,0.23076923076923078,0.0
1321,1.0,0.09090909090909091,0.3333333333333333
7668,1.0,0.0,0.5
