plan_id,num_rooms,avg_room_area,std_room_area,avg_aspect_ratio,avg_compactness,avg_rectangularity
1,14,7.487408051785705,6.326510563166481,1.7894422802994545,0.6499412406087093,0.9750162304041453
2,7,6.913880264285714,6.906329827469273,2.2673902329952083,0.6696361887035099,0.9977963973530283
3,5,8.834605450000009,9.94090202086486,1.92361295601861,0.6739387733516563,0.9606255695030249
4,5,12.932369274000019,9.314597491861662,1.9167501164356147,0.6307210838874941,0.9371919220099739
6,7,9.376729740000004,5.578742943301068,1.6930879339402478,0.68985341944638,0.947067557954336
10,19,5.676783994210528,4.902449493636118,1.567235125236771,0.6128977538916142,0.8762947294566792
11,14,13.907197914285716,14.851060898012362,3.236849153657823,0.6224182587556848,0.9509492877628657
12,28,11.38104254553571,9.076920779929276,1.7234965174737105,0.6594298328902676,0.9324823313404969
13,12,7.446920974999997,5.6633596872820435,27.758114526863313,0.6387391510852648,0.9722334918168194
16,17,9.53911696882353,6.541660899334118,1.7866576081889525,0.7243768828677632,0.9955274621350227
17,11,4.716684134545455,3.763015781051612,1.9035326954100897,0.7036917745260501,0.9841630501240997
18,8,8.296069506249992,5.136551953705553,3.277747139737855,0.6270405937980555,0.9259782348708339
19,20,6.674890219500004,5.297263874577422,26.645193174061752,0.6470241386183269,0.9331496356330666
22,16,9.11087388312501,7.956053928399594,1.4082995686205315,0.7470406016125082,0.984795518939942
23,18,7.495092268888895,6.282418042290671,1.5572721593421415,0.7332263543383741,0.9879705321210775
24,26,9.397278448076854,8.757322953361667,1.519826953434517,0.663523204782931,0.8831003692173659
30,6,11.290535464999998,8.695878914269866,1.686371522354028,0.6980770094006375,0.9605648570337593
32,20,11.278605953249999,8.020458340130755,1.638452226487415,0.7198428757186046,0.9733742176327468
33,13,6.556227783076921,4.782353365638896,1.9437991786266196,0.6659187597518736,0.9518178121626053
34,22,6.5894780950000005,6.24960199965611,1.7112474204388826,0.6596883495158807,0.9530843445626522
36,15,6.052469259666667,4.9898688014901165,1.2921069621274308,0.7482577612672139,0.9757057744033321
39,5,5.457064868000005,5.853799756305656,2.748870695010806,0.5588833652283425,0.848263560391846
41,14,9.233643548571427,5.4103011937672925,1.631894767683394,0.6963853929188912,0.9449143113267642
43,10,8.040152092500005,5.995441285265417,1.3506622409759481,0.6984581415258588,0.9197061506253194
47,6,10.764296731666663,6.404128024763004,1.7806911002086168,0.7162631051065191,0.9921447438034964
48,15,7.823161527333338,7.05922967716013,1.3887637306887772,0.7517955784742227,0.9872047580800118
50,26,6.90685728923077,7.776238792666228,1.8509589083150042,0.6690756307172477,0.9539661667177809
52,12,5.149594978333334,4.4558732884515,3.1190709983287253,0.6779570505167684,0.9693039867517786
58,7,6.986362057142861,5.286511184229662,1.4027773126091156,0.6973463932575752,0.9316984688327691
59,27,5.675497467777784,6.616744445498624,1.6300590985408097,0.6882089739200419,0.9657260284776656
68,9,7.167542844444441,5.553551778996532,1.7320020208523481,0.6608003756536017,0.9003616692782411
72,9,6.637917215555555,5.2033844011907835,1.9820782999577895,0.6741344524699884,0.9614305491069869
73,6,9.044480928333334,4.950485968350567,1.8920008167071132,0.6985386666630106,0.9895721242388994
77,11,11.401850362272723,5.8338306363697585,1.3271802948599183,0.6931637986210832,0.9271422511186418
78,19,8.832493430526327,5.749316157530549,1.467728705298765,0.722753488826249,0.9719003144090421
81,9,9.018442815555568,5.16632267426469,1.4990496628968595,0.6685964229782657,0.945422121670624
82,21,7.295969687142856,4.958844068685574,2.4809728183655673,0.6605039209753308,0.9554009070886735
83,9,7.248902291111114,5.103858468530804,1.6393258527403232,0.6778587375348879,0.89852672527053
84,8,7.07745575,4.495227719269308,1.434668182294222,0.7517914017478382,0.9992209176040776
86,17,9.423501674117654,8.518226990467127,1.6023225502145806,0.6813278267002623,0.9661581589091606
90,10,6.282044657000003,5.130858170048836,1.6832538562479205,0.6912473937858122,0.951750023264845
92,14,11.718365417857143,11.780426516681038,51.308568125612496,0.589821678802848,0.8765566532445542
93,7,9.92426205857143,6.260728487663159,2.1028431837184547,0.6627509291348513,0.9587622716712182
98,6,8.086763386666666,6.920695212696368,1.090397608455362,0.7499059719705444,0.9131896034650532
102,27,10.525433505925914,8.021106721824406,1.426887777833892,0.713153313061152,0.9351082641609573
103,7,8.984941111428576,5.936576674589956,1.3615144133458352,0.7362983129945437,0.9680185522458683
107,11,7.822580842727274,5.757236605176611,1.448554555838586,0.7205153846097723,0.9568999036021227
108,9,9.44814161833336,5.510796131068401,1.5310460090894837,0.6374880524704679,0.9424677478848285
116,8,9.436171403124995,5.126803519367985,2.000594784259695,0.6753847385824008,0.9633596665455504
122,8,12.613256815,12.498483475303798,1.92782778214975,0.7033407816890123,0.9939780546141483
123,21,9.618753774761911,6.383886223821744,1.5511754232413584,0.6796101696328213,0.9156909957947524
